student,take_exam,social,gender,pretest,posttest,Fi,CBi,Vi,MApi,PApi,total_time,total_activity,total_time_be,total_activity_be,qp_time,wa_time,qp_activity,wa_activity,exam_norm,lgain_pp,lgain_pe
user0459,0,0,1,0.09,,0.42,0.25,0.73,0.33,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0378,1,0,1,0.27,0.64,0.58,0.6,0.67,0.61,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.37,137.037037037037
user0382,1,0,1,0.09,0.73,0.5,0.45,0.67,0.44,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.64,711.1111111111112
user0388,1,0,1,0.0,0.73,0.5,0.65,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.73,0.0
user0398,1,0,1,0.09,0.27,0.58,0.4,0.67,0.72,0.56,511169.0,2.0,26.0,2.0,0.0,511169.0,0.0,26.0,82.0,0.18000000000000002,200.00000000000006
user0418,1,0,1,0.36,0.36,0.42,0.5,0.6,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0
user0421,1,0,1,0.0,0.45,0.5,0.3,0.67,0.5,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.45,0.0
user0424,1,0,1,0.73,0.09,0.5,0.75,0.8,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,-0.64,-87.67123287671234
user0431,1,0,0,0.09,0.45,0.5,0.55,1,0.61,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.36,400.0
user0429,1,0,0,0.18,0.73,0.67,0.05,0.53,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.55,305.5555555555556
user0386,1,0,0,0.09,,0.58,0.2,0.8,0.78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,,
user0405,1,0,1,0.45,,0.5,0.8,0.93,0.78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,,
